"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 23일","51,139.0","51,781.3","51,781.3","48,719.6","17.25K","-1.24%"
"2021년 04월 22일","51,781.3","53,822.0","55,067.0","51,781.3","12.69K","-3.79%"
"2021년 04월 21일","53,822.0","56,476.0","56,476.0","53,822.0","7.10K","-4.70%"
"2021년 04월 20일","56,476.0","55,639.0","56,950.0","54,398.0","8.39K","1.50%"
"2021년 04월 19일","55,639.0","56,173.0","57,359.0","54,912.8","8.57K","-0.93%"
"2021년 04월 18일","56,163.0","59,970.0","60,223.0","54,416.8","26.33K","-6.35%"
"2021년 04월 17일","59,970.0","61,325.0","62,367.7","59,970.0","7.02K","-2.21%"
"2021년 04월 16일","61,325.0","63,196.0","63,453.0","60,286.0","11.54K","-2.96%"
"2021년 04월 15일","63,196.0","62,907.0","63,475.0","62,348.0","6.61K","0.40%"
"2021년 04월 14일","62,942.7","63,518.0","64,374.0","62,065.0","10.93K","-0.91%"
"2021년 04월 13일","63,518.0","59,900.0","63,518.0","59,900.0","11.26K","6.04%"
"2021년 04월 12일","59,900.0","60,034.8","60,701.0","59,747.0","5.50K","-0.22%"
"2021년 04월 11일","60,034.8","59,823.8","60,486.0","59,411.0","4.65K","0.35%"
"2021년 04월 10일","59,823.8","58,114.0","60,984.0","58,114.0","9.79K","2.94%"
"2021년 04월 09일","58,114.0","58,110.0","58,683.0","57,849.0","3.75K","0.01%"
"2021년 04월 08일","58,110.0","55,960.0","58,110.0","55,960.0","4.48K","3.84%"
"2021년 04월 07일","55,960.0","57,991.0","58,490.0","55,960.0","8.85K","-3.50%"
"2021년 04월 06일","57,991.0","59,145.0","59,200.0","57,603.0","5.62K","-1.95%"
"2021년 04월 05일","59,145.0","58,240.0","59,145.0","57,034.0","5.59K","1.55%"
"2021년 04월 04일","58,240.0","57,023.0","58,240.0","57,023.0","4.97K","2.13%"
"2021년 04월 03일","57,023.0","58,959.0","59,499.0","57,023.0","6.63K","-3.28%"
"2021년 04월 02일","58,959.0","58,727.4","59,834.0","58,727.4","6.15K","0.39%"
"2021년 04월 01일","58,727.4","58,796.0","59,172.9","58,498.0","4.35K","-0.12%"
"2021년 03월 31일","58,796.0","58,841.0","59,453.0","57,698.0","8.12K","-0.08%"
"2021년 03월 30일","58,841.0","57,672.3","59,349.0","57,278.0","7.87K","2.03%"
"2021년 03월 29일","57,672.3","55,773.0","58,162.0","54,984.0","10.12K","3.41%"
"2021년 03월 28일","55,773.0","55,886.0","56,326.0","55,089.0","4.21K","-0.20%"
"2021년 03월 27일","55,886.0","54,992.9","56,249.0","54,373.0","5.18K","1.62%"
"2021년 03월 26일","54,992.9","51,363.0","54,992.9","51,363.0","7.71K","7.07%"
"2021년 03월 25일","51,363.0","52,347.2","52,926.0","50,874.0","11.59K","-1.88%"
