,1,52,825,1027,1839,2010,3408,4172,4687,5426,other_total_market_cap,global
2020-03-02,156084173198.82956,9993027451.88224,4655309400.07379,23932587491.131348,2940153119.9140787,1186579368.4088233,439961800.0110159,69478617.6351728,68514798.6061947,0.0,44189867063.062775,243559652309.555
2020-03-09,147951754406.5492,9095080045.129597,4649850615.620308,22522073578.67098,2666339088.750208,1129212280.2999492,461920535.8318049,60239203.99480159,91050004.65547791,0.0,42518039095.57267,231145558855.075
2020-03-16,97469192840.33563,6717749917.264902,4682521402.011643,13704246819.166275,1614667045.5486803,699137174.305343,578964706.029771,41486688.17566232,127456826.54304165,0.0,27264048310.535053,152899471729.916
2020-03-23,105780190268.62915,6584121480.977175,4660709124.932539,13506190366.402466,1735547642.2129204,700992234.2109958,664367563.4813453,37818899.85006347,175689298.43381438,0.0,29508704189.35453,163354331068.485
2020-03-30,108203437915.23332,7188901653.089831,4649860642.437568,13832864229.055079,1770697319.7626817,731764744.0046359,674737949.5658283,39117753.96286074,181847867.53321618,0.0,30721145729.68298,167994375804.328
2020-04-06,124178004966.36812,7883654808.734048,6185000902.761119,15852539294.281101,2135323586.0341413,829288212.6818823,696585098.0272038,47069512.42677873,198236805.4675196,0.0,32548132091.370087,190553835278.152
2020-04-13,127349493899.92056,8353518391.72671,6422260631.804491,17693675903.308674,2234850626.958748,876147392.3449352,708227477.3659658,53609781.13591506,190293731.2839799,0.0,34639183999.97802,198521261835.828
2020-04-20,131681877228.60332,8402387514.14679,6420214611.35929,19996673015.590153,2509021616.605411,927452460.8519343,728853726.7207143,66207056.928244464,206059931.491333,0.0,35937900989.19981,206876648151.497
2020-04-27,141322115947.34253,8658639405.78833,6353334775.824087,21880363407.849167,2547310388.4817033,1190257892.7374933,749144072.0996581,56278970.569773644,194372054.12196106,0.0,38658968927.156296,221610785841.971
2020-05-04,163655471479.58307,9694673473.454493,6381251083.907226,23375998238.171616,2665794120.926102,1272271728.0051563,705941055.183939,55957093.59018718,180791888.56978685,0.0,40959819892.63242,248947970054.024
2020-05-11,161002863406.78168,8737134707.519035,6366002279.441959,20917349495.093616,2376386200.1367183,1236111345.6562777,707271198.4931557,51791985.88629831,177919182.26439497,0.0,38332668965.47286,239905498766.746
2020-05-18,178061835629.24448,8867738762.966244,8801454021.042952,22983067947.057762,2531925693.6820908,1324713822.0121784,706282336.2664434,55103471.55934593,177923745.93265548,0.0,49263415810.724846,272773461240.489
2020-05-25,161099222524.0095,8561329722.44243,8799530164.895864,22288835761.0185,2482185731.160296,1334559800.296262,706480506.1988518,52254919.61840815,178012735.47644034,0.0,39805051220.33545,245307463085.452
2020-06-01,173950651647.76044,8931357080.945787,8800554856.240833,25642611324.366688,2648368063.025994,1918492109.1100876,728462001.7211044,56824244.79708816,171880022.52193806,0.0,43030541652.56604,265879743003.056
2020-06-08,179763960699.07367,8973547745.464619,9208285506.425957,27308254795.650864,2712931908.1538787,2251620266.7415276,734533757.2487261,62016601.711884916,167209336.1376874,10601798.858562183,46187114478.543625,277380076894.011
2020-06-15,172718935758.7432,8450473216.27592,9243143501.821018,26013014519.577267,2589289229.7875443,1986993638.8934681,736275927.6909049,81505292.95906922,164602470.49994794,10148032.246347219,44041513758.65131,266035895347.146
2020-06-22,171164992440.77664,8213975646.289161,9205188323.46813,25515154218.48371,2489965479.6551957,2033505665.5565538,733773105.1158313,81489254.74759103,163930705.11894047,11601426.500526799,44749728848.39672,264363305114.109
2020-06-29,168110009823.14206,7864755575.035899,9192388091.259352,25131103750.31754,2394393848.566483,2082941681.2038522,926380666.4528685,78971409.81455354,165836784.03936887,13758934.052305754,43079544322.67371,259040084886.558
2020-07-06,167093607091.6809,7826862550.108729,9180163152.432346,25426214411.331112,2408459317.6108794,2543484231.195726,1030854428.0705733,79693505.13546012,173816886.9074205,11933797.544103034,44531433280.64475,260306522652.662
2020-07-13,171301164845.18356,8890826517.916164,9171307551.050545,27108242838.358208,2834501833.3735876,3293490686.1051025,1101244552.838295,82702675.25081153,173201219.16316715,17483223.447990235,50616161598.01057,274590327540.698
2020-07-20,169693622626.09238,8821937210.415976,9175344461.168581,26760971548.42343,2804072218.3744583,3211268749.422531,1117273693.8049483,129449214.03595436,184886999.43003452,15814778.235767547,51748561842.75794,273663203342.162
