기준분기,연령대,성별구분,소득추정등급,"신용관리대상등록총금액<미적용, 금액, 십만원>","신용관리대상등록총금액<미적용, 등록자수, 명>"
2010Q2,60대,여자,09,378962,80
2010Q2,60대,여자,10,162620,135
2010Q2,60대,여자,11,37067,123
2010Q2,60대,여자,12,103620,327
2010Q2,60대,여자,13,100490,382
2010Q2,60대,여자,14,23646,146
2010Q2,60대,여자,15,445,4
2010Q2,70세 이상,남자,00,22975,72
2010Q2,70세 이상,남자,01,0,0
2010Q2,70세 이상,남자,02,0,0
2010Q2,70세 이상,남자,03,0,0
2010Q2,70세 이상,남자,04,0,0
2010Q2,70세 이상,남자,06,0,0
2010Q2,70세 이상,남자,07,0,0
2010Q2,70세 이상,남자,08,0,0
2010Q2,70세 이상,남자,09,0,0
2010Q2,70세 이상,남자,10,0,0
2010Q2,70세 이상,남자,11,0,0
2010Q2,70세 이상,남자,12,0,0
2010Q2,70세 이상,남자,13,471351,442
2010Q2,70세 이상,남자,14,59435,52
2010Q2,70세 이상,남자,15,0,0
2010Q2,70세 이상,여자,00,10462,75
2010Q2,70세 이상,여자,01,0,0
2010Q2,70세 이상,여자,02,0,0
2010Q2,70세 이상,여자,03,0,0
2010Q2,70세 이상,여자,04,0,0
2010Q2,70세 이상,여자,05,0,0
2010Q2,70세 이상,여자,06,0,0
2010Q2,70세 이상,여자,07,0,0
2010Q2,70세 이상,여자,08,0,0
2010Q2,70세 이상,여자,09,0,0
2010Q2,70세 이상,여자,10,0,0
2010Q2,70세 이상,여자,11,0,0
2010Q2,70세 이상,여자,12,0,0
2010Q2,70세 이상,여자,13,128633,80
2010Q2,70세 이상,여자,14,126580,363
2010Q2,70세 이상,여자,15,145283,213
2010Q3,20대,남자,00,9001,130
2010Q3,20대,남자,01,1329,7
2010Q3,20대,남자,02,6739,2
2010Q3,20대,남자,03,343,5
2010Q3,20대,남자,04,770,3
2010Q3,20대,남자,05,2768,7
2010Q3,20대,남자,06,2158,3
2010Q3,20대,남자,07,634,7
2010Q3,20대,남자,08,2420,13
2010Q3,20대,남자,09,9495,29
2010Q3,20대,남자,10,78863,59
2010Q3,20대,남자,11,34336,220
2010Q3,20대,남자,12,63349,616
2010Q3,20대,남자,13,29463,922
2010Q3,20대,남자,14,8934,102
2010Q3,20대,남자,15,1941,42
2010Q3,20대,여자,00,16999,168
2010Q3,20대,여자,01,68,2
2010Q3,20대,여자,02,13,1
2010Q3,20대,여자,03,79,4
2010Q3,20대,여자,04,0,0
2010Q3,20대,여자,05,57,1
2010Q3,20대,여자,06,477,3
2010Q3,20대,여자,07,320,9
2010Q3,20대,여자,08,377,4
2010Q3,20대,여자,09,4408,15
2010Q3,20대,여자,10,4882,22
2010Q3,20대,여자,11,2005,20
2010Q3,20대,여자,12,4828,21
2010Q3,20대,여자,13,12618,52
2010Q3,20대,여자,14,78527,814
2010Q3,20대,여자,15,37981,749
2010Q3,30대,남자,00,276619,1478
2010Q3,30대,남자,01,27648,32
2010Q3,30대,남자,02,12352,15
2010Q3,30대,남자,03,27334,34
2010Q3,30대,남자,04,11881,14
2010Q3,30대,남자,05,61822,45
2010Q3,30대,남자,06,38602,61
2010Q3,30대,남자,07,162763,113
2010Q3,30대,남자,08,291229,475
2010Q3,30대,남자,09,342680,994
2010Q3,30대,남자,10,393681,1243
2010Q3,30대,남자,11,271009,1026
2010Q3,30대,남자,12,149949,1031
2010Q3,30대,남자,13,23119,250
2010Q3,30대,남자,14,11589,100
2010Q3,30대,남자,15,6489,20
2010Q3,30대,여자,00,180304,1052
2010Q3,30대,여자,01,8691,15
2010Q3,30대,여자,02,6533,8
2010Q3,30대,여자,03,80803,15
2010Q3,30대,여자,04,3855,8
2010Q3,30대,여자,05,3796,25
2010Q3,30대,여자,06,22897,27
2010Q3,30대,여자,07,16030,27
2010Q3,30대,여자,08,72582,47
2010Q3,30대,여자,09,95130,180
2010Q3,30대,여자,10,149298,227
2010Q3,30대,여자,11,114908,443
2010Q3,30대,여자,12,110764,492
2010Q3,30대,여자,13,124700,682
